,text,label
0,The system shall refresh the display every 60 seconds.,PERFORMANCE
1,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,USABILITY
2,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,AVAILABILITY
3,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,USABILITY
4,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,SECURITY
5,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,USABILITY
6,The product shall respond fast to keep up-to-date data in the display.,PERFORMANCE
7,The system shall be used by realtors with no training.,USABILITY
8,The system shall be intuitive and self explanatory.,USABILITY
9,The product shall be easy for a realtor to learn.,USABILITY
10,The product shall use symbols and words that are naturally understandable by the realtor community.,USABILITY
11,The product shall produce search results in an acceptable time,PERFORMANCE
12,The search results shall be returned no later 30 seconds after the user has entered the search criteria,PERFORMANCE
13,The product shall generate a CMA report in an acceptable time.,PERFORMANCE
14,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PERFORMANCE
15,The product shall synchronize contacts and appointments in an acceptable time.,PERFORMANCE
16,The product shall synchronize with the office system every hour.,PERFORMANCE
17,The product shall be available for use 24 hours per day 365 days per year,AVAILABILITY
18,Out of 1000 accesses to the system the system is available 999 times.,AVAILABILITY
19,The product shall operate in offline mode whenever internet connection is unavailable.,FAULT TOLERANCE
20,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FAULT TOLERANCE
21,The product shall retain user preferences in the event of a failure.,FAULT TOLERANCE
22,100% of saved user preferences shall be restored when system comes back online.,FAULT TOLERANCE
23,The product shall be able to support multiple remote users,SCALABILITY
24,The product shall be able support 1000 simultaneous users.,SCALABILITY
25,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SCALABILITY
26,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,USABILITY
27,90% of untrained realtors shall be able to install the product on their device without printed instructions,USABILITY
28,Only registered realtors shall be able to access the system.,SECURITY
29,Every user of the system shall be authenticated and authorized.,SECURITY
30,The product shall prevent its data from incorrect data being introduced.,SECURITY
31,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,USABILITY
32,All of the users shall be able to use the system after one day of training.,USABILITY
33,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,USABILITY
34,The number of mistakes noted by the students shall be decreased by 50% in the first year.,USABILITY
35,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,USABILITY
36,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,USABILITY
37,The system shall use symbols and words that are naturally understandable by the user community.,USABILITY
38,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,USABILITY
39,Staff members shall be able to complete a set of tasks in a timely manner.,PERFORMANCE
40,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PERFORMANCE
41,The system shall be available for use between the hours of 8am and 6pm.,AVAILABILITY
42,The system shall achieve 95% up time.,AVAILABILITY
43,system shall be able to handle all of the user requests/usage during business hours.,SCALABILITY
44,The system shall cater to 10 simultaneous users from 9am to 5pm.,SCALABILITY
45,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SCALABILITY
46,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SCALABILITY
47,Only authorized users shall have access to clinical site information.,SECURITY
