,text,label
0,The system shall capture and maintain demographic information as discrete data elements as part of the patient record.,MAINTAINABILITY
1,The system shall store medication information in discrete data fields.,MAINTAINABILITY
2,The system shall provide the ability to capture patient history in a standard coded form.,MAINTAINABILITY
3,The system shall provide templates for inputting data in a structured format as part of clinical documentation.,USABILITY
4,The system shall display patient annotations in a manner which distinguishes them from other content in the system.,USABILITY
5,"The system shall enforce the most restrictive set of rights or privileges or accesses needed by users or groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks.",SECURITY
6,The system shall have the ability to format for export recorded time stamps using UTC based on ISO 8601.,MAINTAINABILITY
7,"The system shall authenticate the user before any access to Protected Resources (e.g. PHI) is allowed, including when not connected to a network e.g. mobile devices.",SECURITY
8,"When passwords are used, the system shall support password strength rules that allow for minimum number of characters, and inclusion of alpha-numeric complexity.",SECURITY
9,"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures.",SECURITY
10,The inactivity timeout shall be configurable.,SECURITY
11,The system shall enforce a limit of (configurable) consecutive invalid access attempts by a user.,SECURITY
12,"The system shall protect against further, possibly malicious, user authentication attempts using an appropriate mechanism (e.g. locks the account or node until released by an administrator, locks the account or node for a configurable time period, or delays the next login prompt according to a configurable delay algorithm).",SECURITY
13,"When passwords are used, the system shall provide an administrative function that resets passwords.",SECURITY
14,"When passwords are used, user accounts that have been reset by an administrator shall require the user to change the password at next successful logon.",SECURITY
15,The system shall provide only limited feedback information to the user during the authentication.,SECURITY
16,"When passwords are used, the system shall allow an authenticated user to change their password consistent with password strength rules (SC 03.02).",SECURITY
17,"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.",SECURITY
18,"When passwords are used, the system shall prevent the reuse of passwords previously used within a specific (configurable) timeframe (i.e., within the last X days, etc. e.g. last 180 days), or shall prevent the reuse of a certain (configurable) number of the most recently used passwords (e.g. last 5 passwords).",SECURITY
19,"The system shall include documentation that explains system error or performance messages to users and administrators, with the actions required.",USABILITY
20,"The system shall include documentation of product capacities (e.g. number of users, number of transactions per second, number of records, network load, etc.) and the baseline representative configurations assumed for these capacities (e.g. number or type of processors, server or workstation configuration and network capacity, etc).",PERFORMANCE
21,"The system shall include documentation available to the customer stating whether or not there are known issues or conflicts with security services in at least the following service areas: antivirus, intrusion detection, malware eradication, host-based firewall and the resolution of that conflict (e.g. most systems should note that full virus scanning should be done outside of peak usage times and should exclude the databases.)",SECURITY
22,"The system shall include documentation that itemizes the services (e.g. PHP, web services) and network protocols/ports (e.g. HL-7, HTTP, FTP) that are necessary for proper operation and servicing of the system, including justification of the need for that service and protocol.",SECURITY
23,This information may be used by the healthcare facility to properly configure their network defenses (firewalls and routers).,SECURITY
24,"The system shall include documentation available to the customer that provides guidelines for configuration and use of the security controls necessary to support secure and reliable operation of the system, including but not limited to: creation, modification, and deactivation of user accounts, management of roles, reset of passwords, configuration of password constraints, and audit logs.",SECURITY
25,"The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software (malware).",SECURITY
26,Vendor may self-certify compliance with this standard through procedures that make use of commercial malware scanning software.,SECURITY
