,text,label
23,The product shall be able to support multiple remote users,SCALABILITY
42,The system shall achieve 95% up time.,AVAILABILITY
165,Izogn Administrator must be able to add new products to the website within 2 minutes.,PERFORMANCE
89,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SECURITY
151,While streaming a movie buffering should only occur if there is latency in the user's connection.,PERFORMANCE
110,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MAINTAINABILITY
90,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SECURITY
149,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,PERFORMANCE
183,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PERFORMANCE
254,The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.,USABILITY
229,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,USABILITY
69,If a user account is revoked it can only be re-instantiated by the System Administrator.,SECURITY
190,The product shall able to handle a large number of games simultaneously.,PERFORMANCE
62,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PERFORMANCE
1,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,USABILITY
45,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SCALABILITY
100,The product shall use a standard navigation menu familiar to most web users.,USABILITY
5,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,USABILITY
161,The website shall be capable of supporting 100 000 customers.,SCALABILITY
132,System shall let existing customers log into the website with their email address and password in under 5 seconds.,PERFORMANCE
121,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SECURITY
0,The system shall refresh the display every 60 seconds.,PERFORMANCE
22,100% of saved user preferences shall be restored when system comes back online.,FAULT TOLERANCE
17,The product shall be available for use 24 hours per day 365 days per year,AVAILABILITY
255,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PERFORMANCE
